id,date,title,slug,client,facility,location,start_date,end_date,owner,architect,vendors,contractors,case_study_pdf,sector1,sector2,sector3,sector4,service1,service2,service3,service4,office1,office2,office3,migration_status,migration_note
33173,2019-07-29,"LA Metro Sustainability Program",los-angeles-county-metropolitan-transportation-authority-metro-los-angeles-ca,"Los Angeles County Metropolitan Transportation Authority (Metro)",,,,,,,,,,transportation,,,,program-project-management,energy-sustainability-solutions,,,los-angeles,,,auto-migrated,
33133,2019-07-24,"220 Central Park South",220-central-park-south-manhattan-ny,"Vornado Realty Trust",,,,,,,,,,luxury-residential,,,,program-project-management,,,,new-york,,,auto-migrated,
33129,2019-07-24,"LaGuardia Airport Central Terminal Building Program",laguardia-airport-central-terminal-building-program-flushing-ny,"the Port Authority",,,,,,,,,,transportation,,,,program-project-management,,,,new-york,,,auto-migrated,
33126,2019-07-24,"Jacob K. Javits Convention Center Expansion",jacob-k-javits-convention-center-expansion-new-york-ny,"The New York Convention Center Development Corporation",,,,,,,,,,culture-non-profit,,,,program-project-management,,,,new-york,,,auto-migrated,
33121,2019-07-24,"Four Seasons Hotel and Residences at The Surf Club",four-seasons-hotel-and-residences-at-the-surf-club-surfside-fl,"Fort Partners",,,,,,,,,,hospitality-gaming,luxury-residential,,,program-project-management,,,,miami,,,auto-migrated,
33108,2019-07-24,"Manhattanville Campus",columbia-university-manhattanville-campus-manhattan-ny,"Columbia University",,,,,,,,,,higher-education,,,,program-project-management,,,,new-york,,,auto-migrated,
33103,2019-07-24,"River Campus",rockefeller-university-new-york-ny,"Rockefeller University",,,,,,,,,,higher-education,,,,program-project-management,,,,new-york,,,auto-migrated,
33051,2019-07-22,"Eataly USA, Multiple Projects",eataly-usa-multiple-projects,Investindustrial,,,,,,,,,,retail,,,,program-project-management,,,,new-york,,,auto-migrated,
33048,2019-07-22,"Confidential Client Restack Project",confidential-client-new-york-ny,,,,,,,,,,,workplace,,,,program-project-management,,,,new-york,,,auto-migrated,
33040,2019-07-22,"25 Kent",25-kent-brooklyn-ny,"Rubenstein Partners and Heritage Equity Partners",,,,,,,,,,workplace,,,,program-project-management,,,,new-york,,,auto-migrated,
33035,2019-07-18,"Shawn Jenkins Children's Hospital & Pearl Tourville Women’s Pavilion",musc-shawn-jenkins-childrens-hospital-pearl-tourville-womens-pavilion-charleston-sc,"Medical University of South Carolina",,,,,,,,,,healthcare,,,,cost-commercial-management,program-project-management,,,charleston,,,auto-migrated,
32834,2019-06-27,"Orange High School, Science Building",orange-county-unified-school-district-orange-ca,"Orange County Unified School District",,,,,,,,,,k-12-education,,,,cost-commercial-management,,,,aliso-viejo,,,auto-migrated,
32830,2019-06-27,"Marina Park",marina-park-newport-beach-ca,"The City of Newport Beach",,,,,,,,,,civic,,,,cost-commercial-management,,,,aliso-viejo,,,auto-migrated,
32827,2019-06-27,"New Veterans Sports Park at Tustin Legacy",city-of-tustin-new-veterans-sports-park-at-tustin-legacy-tustin-ca,"City of Tustin",,,,,,,,,,civic,,,,cost-commercial-management,,,,aliso-viejo,,,auto-migrated,
32824,2019-06-27,"John Wayne Airport",john-wayne-airport-santa-ana-ca,"The County of Orange",,,,,,,,,,transportation,,,,cost-commercial-management,,,,aliso-viejo,,,auto-migrated,
